Rank,Target,Symbol,Module,Category,Drug_Example,PDD_Score,HDT_Score,Network_Score,AI_Score,Unified_Score
1,TNF,TNF,host,inflammation,Etanercept,0.0,0.9625,0.95,0.8731680559354839,0.5141002083903226
2,ANGPT2,ANGPT2,host,endothelial,Anti-Ang2,0.0,0.8414999999999999,0.9125000000000001,0.7459822948917834,0.45914734423376746
3,HMOX1,HMOX1,host,heme,CoPP,0.0,0.83,0.8425,0.7756051335946502,0.4502157700391975
4,PfHDP,HDP,pathogen,heme,Artemisinin,0.8041176470588236,0.0,0.88,0.7376161413524983,0.44367183296758067
5,IL6,IL6,host,inflammation,Tocilizumab,0.0,0.8585,0.7725,0.7201617182671656,0.43852425774007486
6,PfATP4,ATP4,pathogen,ion_transport,Cipargamin,0.8469117647058824,0.0,0.65,0.7895887457197777,0.4276662530344372
7,HIF1A,HIF1A,host,hypoxia,DMOG,0.0,0.8075000000000001,0.69,0.732291953695998,0.4152187930543997
8,PfDHFR-TS,DHFR-TS,pathogen,folate,Pyrimethamine,0.8825000000000001,0.0,0.55,0.7240690137946323,0.41173535206919487
9,PfCYTB,CYTB,pathogen,mitochondrial,Atovaquone,0.8322058823529411,0.0,0.67,0.6755171876606956,0.4098790487373396
10,EPO,EPO,host,erythropoiesis,EPO,0.0,0.8035,0.55,0.7909076712643834,0.4020111506896575
11,ICAM1,ICAM1,host,adhesion,mAb,0.0,0.7785,0.74,0.6406150302563735,0.40171725453845597
12,NLRP3,NLRP3,host,inflammasome,MCC950,0.0,0.7415,0.7925,0.6228613246364095,0.3976791986954614
13,PfPI4K,PI4K,pathogen,signaling,MMV390048,0.8132352941176471,0.0,0.55,0.7307141597823978,0.39541594749677145
14,IFNG,IFNG,host,th1_response,IFN-gamma,0.0,0.8200000000000001,0.55,0.7084494648653062,0.39376741972979595
15,VCAM1,VCAM1,host,adhesion,Natalizumab,0.0,0.7464999999999999,0.74,0.626796113771956,0.39164441706579334
16,PfFalcipain,FP,pathogen,cysteine,E64d,0.7919117647058824,0.0,0.55,0.6893987729373022,0.38388775711706596
17,IL1B,IL1B,host,inflammation,Anakinra,0.0,0.8065,0.6125,0.5992569570280113,0.38338854355420166
18,PfPlasmepsin,PM,pathogen,aspartic,PIV,0.8060294117647059,0.0,0.55,0.6492266778046287,0.3813913546118708
19,PfDHPS,DHPS,pathogen,folate,Sulfadoxine,0.8013235294117647,0.0,0.55,0.6352266250714426,0.37811487611365757
20,PfNMT,NMT,pathogen,protein_mod,DDD85646,0.7354411764705883,0.0,0.55,0.6825090376568197,0.36873664976617
21,NOS2,NOS2,host,nitric_oxide,L-NMMA,0.0,0.7815000000000001,0.55,0.6028008747394965,0.3682951312109245
22,TLR4,TLR4,host,innate,TAK-242,0.0,0.7675000000000001,0.5875,0.5817482691142029,0.36726224036713045
23,VWF,VWF,host,coagulation,Caplacizumab,0.0,0.74,0.5875,0.6144201465643648,0.3652880219846547
24,PfHsp90,HSP90,pathogen,chaperone,Geldanamycin,0.7688235294117648,0.0,0.55,0.5931830652030463,0.36368334213339815
25,PfPKG,PKG,pathogen,signaling,ML10,0.7691176470588236,0.0,0.55,0.5800484486690828,0.3617866790650683
26,EPCR,PROCR,host,coagulation,APC,0.0,0.726,0.5875,0.6135956920566341,0.3616643538084951
27,TLR9,TLR9,host,innate,CpG ODN,0.0,0.7215,0.5875,0.6162958432117085,0.36094437648175626
28,CASP1,CASP1,host,inflammasome,VX-765,0.0,0.7215,0.55,0.6347240938439977,0.35808361407659967
29,NRF2,NFE2L2,host,oxidative,Bardoxolone,0.0,0.7415,0.55,0.5455700796149665,0.349710511942245
30,CD36,CD36,host,phagocytosis,Anti-CD36,0.0,0.7090000000000001,0.55,0.585810693242306,0.3476216039863459
31,GATA1,GATA1,host,erythropoiesis,,0.0,0.651,0.55,0.5413621966222063,0.326454329493331
32,HAMP,HAMP,host,iron,Mini-hepcidin,0.0,0.6265000000000001,0.55,0.5529855482561785,0.3220728322384268
33,ADAMTS13,ADAMTS13,host,coagulation,rADAMTS13,0.0,0.631,0.5875,0.5052319851151063,0.32165979776726594
34,FTH1,FTH1,host,iron,Iron chelator,0.0,0.6385000000000001,0.55,0.5221647949859911,0.32044971924789867
35,PfAQP,AQP,pathogen,transport,Auphen,0.6001470588235294,0.0,0.55,0.5706757173150795,0.3181381223031443
